"F2_word_count":numerical,"F2_char_count":numerical,"F2_distinct_word_count":numerical,"F2_vocab_richness":numerical,"F2_func_word_count_1":numerical,"F2_func_word_count_2":numerical,"F2_func_word_count_3":numerical,"F2_func_word_count_4":numerical,"F2_func_word_count_5":numerical,"F2_func_word_count_6":numerical,"F2_func_word_count_7":numerical,"F2_func_word_count_8":numerical,"F2_func_word_count_9":numerical,"F2_func_word_count_10":numerical,"F2_func_word_count_11":numerical,"F2_func_word_count_12":numerical,"F2_func_word_count_13":numerical,"F2_func_word_count_14":numerical,"F2_func_word_count_15":numerical,"F2_func_word_count_16":numerical,"F2_func_word_count_17":numerical,"F2_func_word_count_18":numerical,"F2_total_function_words_per_word_count":numerical,class:categorical
53,390,41,0.135897,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056604,1
71,538,56,0.13197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,86,15,0.186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78,11,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,928,94,0.150862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,499,52,0.136273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,2730,262,0.134066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,530,52,0.128302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,764,75,0.145288,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0.081081,1
66,499,51,0.132265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,608,72,0.149671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,507,52,0.134122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,6500,323,0.144615,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.005319,0
3132,19871,609,0.157617,8,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0.006066,0
60,516,38,0.116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,341,34,0.134897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,538,53,0.137546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,499,51,0.138277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,508,64,0.169291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,486,49,0.135802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,516,38,0.116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,416,29,0.108173,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.044444,0
50,372,35,0.134409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,362,35,0.135359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,1467,139,0.186094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,361,49,0.174515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,487,50,0.135524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,10,0.188679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,16194,483,0.157095,5,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0.005503,0
304,1892,159,0.160677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,83,12,0.144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,519,54,0.134875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,66,12,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,507,54,0.138067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,499,54,0.142285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,175,20,0.125714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.045455,0
1182,8260,381,0.143099,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.00423,0
2621,16583,451,0.158053,7,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0.006105,0
74,538,56,0.137546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,368,46,0.157609,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.068966,1
70,519,54,0.134875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1463,137,0.185919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,276,32,0.137681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,546,59,0.141026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,321,37,0.140187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,16194,483,0.157095,5,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0.005503,0
155,944,111,0.164195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,774,94,0.162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,461,55,0.158351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013699,0
35,247,31,0.1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,491,50,0.13442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1914,171,0.16092,5,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,1,0,0.038961,1
10,53,10,0.188679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,194,20,0.134021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1450,138,0.155172,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.008889,0
45,416,29,0.108173,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.044444,0
66,491,50,0.13442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,975,72,0.142564,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.021583,1
54,483,35,0.111801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,784,73,0.144133,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.017699,1
70,522,54,0.1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,499,51,0.132265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,254,33,0.169291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1883,165,0.148699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.003571,0
272,1463,137,0.185919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,287,38,0.167247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,487,50,0.135524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,491,50,0.13442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,812,79,0.134236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.009174,0
150,966,90,0.15528,4,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0.06,1
156,834,101,0.18705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,499,54,0.142285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,368,49,0.160326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,198,29,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,6039,408,0.160788,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00206,0
46,317,35,0.14511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,4223,359,0.159602,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.002967,0
1447,9562,533,0.151328,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002073,0
24,167,22,0.143713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,208,34,0.173077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
